GL,Temperature,Pressure,Thermal_conductivity
1,200,1,803.2
1,239.56,1,806.8
0,239.56,1,20.98
0,300,1,25.10
0,400,1,37.22
0,500,1,53.12
0,600,1,68.61
0,700,1,78.31
1,200,10,804.2
1,298.05,10,485.8
0,298.05,10,26.15
0,300,10,26.31
0,400,10,37.25
0,500,10,53.75
0,600,10,69.12
0,700,10,78.75
1,200,5,808.6
1,298.05,5,487.6
0,382.03,5,313.9
0,800,5,41.69
0,400,5,45.73
0,500,5,57.29
0,600,5,71.79
0,700,5,80.94
1,200,10,814.0
1,398.32,10,218.7
0,398.32,10,101.0
0,400,10,83.9
0,500,10,89.6
0,600,10,76.1
0,700,10,84.2
1,300,10,822.9
1,500,10,432.0
0,500,10,305.7
0,600,10,234.8
0,700,10,198.0
1,500,5000,674.0
0,600,5000,582.6
0,700,5000,511.8
1,300,10000,1324
1,400,10000,1139
1,500,10000,998.5
1,600,10000,887.7
1,700,10000,797.3
